Date,Adj Close
2017-09-19,8.2
2017-09-20,8.03
2017-09-21,8.03
2017-09-22,8.52
2017-09-25,7.82
2017-09-26,7.89
2017-09-27,7.85
2017-09-28,7.75
2017-09-29,7.78
2017-10-02,7.69
2017-10-03,7.9
2017-10-04,7.58
2017-10-05,7.5
2017-10-06,7.36
2017-10-09,7.32
2017-10-10,7.14
2017-10-11,7.19
2017-10-12,7.14
2017-10-13,7.12
2017-10-16,7.15
2017-10-17,7.09
2017-10-18,7.05
2017-10-19,7.07
2017-10-20,6.93
2017-10-23,6.86
2017-10-24,7
2017-10-25,7.1
2017-10-26,7
2017-10-27,6.99
2017-10-30,6.34
2017-10-31,6.54
2017-11-01,6.46
2017-11-02,6.43
2017-11-03,6.67
2017-11-06,5.9
2017-11-07,5.75
2017-11-08,5.99
2017-11-09,6.17
2017-11-10,6.19
2017-11-13,6.03
2017-11-14,5.93
2017-11-15,6.16
2017-11-16,6.25
2017-11-17,6.23
2017-11-20,6.21
2017-11-21,6.08
2017-11-22,6.15
2017-11-24,6.15
2017-11-27,6.15
2017-11-28,6.07
2017-11-29,6.07
2017-11-30,5.99
2017-12-01,5.97
2017-12-04,5.95
2017-12-05,5.74
2017-12-06,5.69
2017-12-07,5.46
2017-12-08,5.44
2017-12-11,5.44
2017-12-12,5.68
2017-12-13,5.69
2017-12-14,5.63
2017-12-15,5.49
2017-12-18,5.6
2017-12-19,5.58
2017-12-20,5.58
2017-12-21,5.62
2017-12-22,5.64
2017-12-26,5.79
2017-12-27,5.84
2017-12-28,5.91
2017-12-29,5.89
2018-01-02,5.93
2018-01-03,5.9
2018-01-04,5.63
2018-01-05,5.8
2018-01-08,5.8
2018-01-09,5.69
2018-01-10,5.62
2018-01-11,5.69
2018-01-12,5.69
2018-01-16,5.6
2018-01-17,5.49
2018-01-18,5.34
2018-01-19,5.47
2018-01-22,5.32
2018-01-23,5.3
2018-01-24,5.26
2018-01-25,5.34
2018-01-26,5.37
2018-01-29,5.27
2018-01-30,5.29
2018-01-31,5.33
2018-02-01,5.1
2018-02-02,5.36
2018-02-05,5.13
2018-02-06,5.1
2018-02-07,5.51
2018-02-08,5.37
2018-02-09,5.3
2018-02-12,5.27
2018-02-13,5.26
2018-02-14,5.31
2018-02-15,5.49
2018-02-16,5.39
2018-02-20,5.45
2018-02-21,5.35
2018-02-22,5.23
2018-02-23,5.3
2018-02-26,5.35
2018-02-27,5.25
2018-02-28,5.19
2018-03-01,5.25
2018-03-02,5.29
2018-03-05,5.38
2018-03-06,5.35
2018-03-07,5.31
2018-03-08,5.31
2018-03-09,5.3
2018-03-12,5.32
2018-03-13,5.29
2018-03-14,5.27
2018-03-15,5.26
2018-03-16,5.36
2018-03-19,5.25
2018-03-20,5.19
2018-03-21,5.16
2018-03-22,5.03
2018-03-23,4.92
2018-03-26,5.01
2018-03-27,4.89
2018-03-28,4.86
2018-03-29,4.88
2018-04-02,4.85
2018-04-03,4.96
2018-04-04,5.06
2018-04-05,5.17
2018-04-06,5.15
2018-04-09,5.14
2018-04-10,6.02
2018-04-11,6
2018-04-12,5.88
2018-04-13,5.78
2018-04-16,5.85
2018-04-17,5.95
2018-04-18,6
2018-04-19,5.96
2018-04-20,6
2018-04-23,5.88
2018-04-24,5.91
2018-04-25,6.02
2018-04-26,6
2018-04-27,6.5
2018-04-30,5.61
2018-05-01,5.42
2018-05-02,5.17
2018-05-03,5.21
2018-05-04,5.28
2018-05-07,5.24
2018-05-08,5.15
2018-05-09,5.18
2018-05-10,5.18
2018-05-11,5.16
2018-05-14,5.14
2018-05-15,5.13
2018-05-16,5.07
2018-05-17,5.09
2018-05-18,5.11
2018-05-21,5.16
2018-05-22,5.18
2018-05-23,5.14
2018-05-24,5.16
2018-05-25,5.15
2018-05-29,5.13
2018-05-30,5.22
2018-05-31,5.14
2018-06-01,5.2
2018-06-04,5.23
2018-06-05,5.22
2018-06-06,5.23
2018-06-07,5.22
2018-06-08,5.17
2018-06-11,5.26
2018-06-12,5.31
2018-06-13,5.38
2018-06-14,5.46
2018-06-15,5.49
2018-06-18,5.55
2018-06-19,5.53
2018-06-20,5.47
2018-06-21,5.35
2018-06-22,5.5
2018-06-25,5.32
2018-06-26,5.4
2018-06-27,5.41
2018-06-28,5.47
2018-06-29,5.44
2018-07-02,5.43
2018-07-03,5.41
2018-07-05,5.48
2018-07-06,5.63
2018-07-09,5.61
2018-07-10,5.63
2018-07-11,5.5
2018-07-12,5.66
2018-07-13,5.66
2018-07-16,5.65
2018-07-17,5.59
2018-07-18,5.56
2018-07-19,5.47
2018-07-20,5.46
2018-07-23,5.41
2018-07-24,5.4
2018-07-25,5.42
2018-07-26,5.48
2018-07-27,5.49
2018-07-30,5.49
2018-07-31,5.43
2018-08-01,5.38
2018-08-02,5.66
2018-08-03,5.62
2018-08-06,6.18
2018-08-07,6.13
2018-08-08,6.08
2018-08-09,6.08
2018-08-10,6.03
2018-08-13,6.07
2018-08-14,6.11
2018-08-15,6.01
2018-08-16,6.12
2018-08-17,6.13
2018-08-20,6.17
2018-08-21,6.18
2018-08-22,6.14
2018-08-23,6.11
2018-08-24,6.08
2018-08-27,6.1
2018-08-28,6.1
2018-08-29,6.13
2018-08-30,6.13
2018-08-31,6.11
2018-09-04,6.1
2018-09-05,6.08
2018-09-06,6.09
2018-09-07,5.95
2018-09-10,6.05
2018-09-11,6.08
2018-09-12,6.31
2018-09-13,6.36
2018-09-14,6.35
2018-09-17,6.33
2018-09-18,6.42
2018-09-19,6.36
2018-09-20,6.44
2018-09-21,6.39
2018-09-24,6.38
2018-09-25,6.4
2018-09-26,6.43
2018-09-27,6.54
2018-09-28,6.54
2018-10-01,6.55
2018-10-02,6.54
2018-10-03,6.5
2018-10-04,6.53
2018-10-05,6.44
2018-10-08,6.52
2018-10-09,6.44
2018-10-10,6.23
2018-10-11,6.21
2018-10-12,6.41
2018-10-15,6.28
2018-10-16,6.4
2018-10-17,6.41
2018-10-18,6.37
2018-10-19,6.46
2018-10-22,6.44
2018-10-23,6.39
2018-10-24,5.94
2018-10-25,6.08
2018-10-26,5.84
2018-10-29,5.75
2018-10-30,5.68
2018-10-31,6.12
2018-11-01,6.28
2018-11-02,6.27
2018-11-05,6.27
2018-11-06,6.2
2018-11-07,6.38
2018-11-08,6.26
2018-11-09,6.19
2018-11-12,6.09
2018-11-13,6.21
2018-11-14,6.15
2018-11-15,6.12
2018-11-16,6.31
2018-11-19,6.19
2018-11-20,6.08
2018-11-21,6.14
2018-11-23,6.12
2018-11-26,6.19
2018-11-27,6.18
2018-11-28,6.35
2018-11-29,6.32
2018-11-30,6.28
2018-12-03,6.27
2018-12-04,6.16
2018-12-06,6.13
2018-12-07,6.01
